OBJECTNUMMER;CodeJ;_2021;_2020;_2019;_2018;_2017;_2016;_2015;_2014;_2013;_2012;_2011;_2010;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
325;"PD1";20.3;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
326;"PD2";21.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
327;"PD3";17.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
328;"PD4";16.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
329;"PD5";19;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
330;"PD6";21.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
331;"PD7";19.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
332;"PD8";22.1;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
333;"PD9";18.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
334;"PD10";22;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
335;"PD11";16.3;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
336;"PD12";19.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
337;"PD13";23.3;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
338;"PD14";18;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
339;"PD15";18.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
340;"PD16";17;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
341;"PD17";15.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
342;"PD18";17.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
343;"PD19";16.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
344;"PD20";18.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
345;"PD21";16.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
346;"PD22";16.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
347;"PD23";18.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
348;"PD24";18;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
349;"PD25";18.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
350;"PD26";17.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
351;"PD27";21.1;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
352;"PD28";19.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
353;"PD29";16.1;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
354;"PD30";18;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
355;"PD31";17.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
356;"PD33";16.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
357;"MBP1";18.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
358;"PD32";16.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
359;"GK151";18.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
360;"CABD";25.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
361;"CVH28";20.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
362;"JTHS";20.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
363;"TK18";14.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
364;"IJMS89";20.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
365;"IJDL";31.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
366;"IJWP";27.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
367;"JHK";24;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
368;"DDP14";16.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
369;"VWH31";22.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
370;"KL49";22;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
371;"SR14";18.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
372;"CDK";18.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
373;"BVS";29.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
374;"ADLS";22.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
375;"LV243";19.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;

